show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,popularity_score
s0,Movie,Show Title 0,Director 0,"Actor 0, Actor 1, Actor 2",United States,"January 22, 2009",2007,TV-PG,111 min,Comedy,A generic description of the show content.,91.5
s1,Movie,Show Title 1,Director 1,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8, Actor 9",India,"January 20, 1991",1991,TV-PG,91 min,Comedy,A generic description of the show content.,75.1
s2,Movie,Show Title 2,Director 2,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",United Kingdom,"January 26, 2024",2024,TV-MA,133 min,Thriller,A generic description of the show content.,100.0
s3,Movie,Show Title 3,Director 3,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7",United States,"January 4, 2000",1999,TV-14,107 min,"Drama, Sci-Fi",A generic description of the show content.,100.0
s4,Movie,Show Title 4,Director 4,"Actor 0, Actor 1, Actor 2",Japan,"January 18, 2020",2019,TV-PG,148 min,Thriller,A generic description of the show content.,100.0
s5,TV Show,Show Title 5,Director 5,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",United States,"January 25, 2003",2002,PG-13,2 Season,Romance,A generic description of the show content.,80.7
s6,TV Show,Show Title 6,Director 6,"Actor 0, Actor 1, Actor 2, Actor 3",Japan,"January 12, 2015",2014,TV-MA,5 Season,"Romance, Action",A generic description of the show content.,100.0
s7,Movie,Show Title 7,Director 7,"Actor 0, Actor 1, Actor 2, Actor 3",United Kingdom,"January 15, 1995",1994,TV-14,157 min,"Comedy, Documentary, Sci-Fi",A generic description of the show content.,76.7
s8,TV Show,Show Title 8,Director 8,"Actor 0, Actor 1",United Kingdom,"January 26, 2005",2004,R,6 Season,Comedy,A generic description of the show content.,75.3
s9,Movie,Show Title 9,Director 9,"Actor 0, Actor 1, Actor 2, Actor 3",United States,"January 9, 2010",2010,TV-MA,107 min,"Thriller, Sci-Fi, Romance",A generic description of the show content.,98.4
s10,TV Show,Show Title 10,Director 10,"Actor 0, Actor 1, Actor 2, Actor 3",India,"January 17, 2018",2017,PG-13,10 Season,"Action, Comedy",A generic description of the show content.,100.0
s11,TV Show,Show Title 11,Director 11,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7",Japan,"January 13, 2001",1999,R,3 Season,"Thriller, Documentary, Drama",A generic description of the show content.,84.8
s12,Movie,Show Title 12,Director 12,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",South Korea,"January 25, 1992",1990,TV-14,167 min,"Drama, Romance, Documentary",A generic description of the show content.,74.4
s13,Movie,Show Title 13,Director 13,"Actor 0, Actor 1, Actor 2, Actor 3",India,"January 17, 2019",2019,TV-14,80 min,"Romance, Action, Documentary",A generic description of the show content.,92.4
s14,TV Show,Show Title 14,Director 14,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8, Actor 9",India,"January 25, 2004",2002,PG-13,3 Season,"Sci-Fi, Comedy",A generic description of the show content.,75.8
s15,Movie,Show Title 15,Director 15,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",India,"January 19, 1997",1997,PG-13,126 min,"Comedy, Drama",A generic description of the show content.,74.9
s16,TV Show,Show Title 16,Director 16,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8",Japan,"January 18, 2024",2024,TV-14,3 Season,Romance,A generic description of the show content.,100.0
s17,Movie,Show Title 17,Director 17,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7",United Kingdom,"January 22, 2005",2003,TV-14,149 min,"Romance, Comedy, Action",A generic description of the show content.,98.6
s18,Movie,Show Title 18,Director 18,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6",India,"January 1, 1999",1997,TV-PG,111 min,Drama,A generic description of the show content.,75.4
s19,Movie,Show Title 19,Director 19,"Actor 0, Actor 1",United States,"January 28, 1995",1994,PG-13,170 min,"Drama, Comedy, Sci-Fi",A generic description of the show content.,55.9
s20,Movie,Show Title 20,Director 20,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8",United States,"January 8, 2022",2021,R,107 min,"Comedy, Romance, Documentary",A generic description of the show content.,100.0
s21,Movie,Show Title 21,Director 21,"Actor 0, Actor 1",United States,"January 22, 2019",2017,PG-13,125 min,"Thriller, Sci-Fi",A generic description of the show content.,97.2
